Temperature	Weather	Date
301.61	overcast clouds	2022/02/01 12:00:00
301.71	overcast clouds	2022/02/01 13:00:00
301.95	broken clouds	2022/02/01 14:00:00
301.75	broken clouds	2022/02/01 15:00:00
300.85	broken clouds	2022/02/01 16:00:00
299.56	scattered clouds	2022/02/01 17:00:00
297.32	broken clouds	2022/02/01 18:00:00
296.69	broken clouds	2022/02/01 19:00:00
296.91	broken clouds	2022/02/01 20:00:00
296.85	overcast clouds	2022/02/01 21:00:00
296.31	overcast clouds	2022/02/01 22:00:00
296.22	overcast clouds	2022/02/01 23:00:00
296.4	overcast clouds	2022/02/02 00:00:00
296.54	overcast clouds	2022/02/02 01:00:00
296.55	overcast clouds	2022/02/02 02:00:00
296.42	overcast clouds	2022/02/02 03:00:00
296.48	overcast clouds	2022/02/02 04:00:00
296.4	overcast clouds	2022/02/02 05:00:00
296.48	overcast clouds	2022/02/02 06:00:00
296.78	overcast clouds	2022/02/02 07:00:00
297.58	overcast clouds	2022/02/02 08:00:00
298.48	broken clouds	2022/02/02 09:00:00
299.81	broken clouds	2022/02/02 10:00:00
300.8	broken clouds	2022/02/02 11:00:00
301.13	broken clouds	2022/02/02 12:00:00
301.67	broken clouds	2022/02/02 13:00:00
301.25	overcast clouds	2022/02/02 14:00:00
300.44	overcast clouds	2022/02/02 15:00:00
298.99	overcast clouds	2022/02/02 16:00:00
297.58	overcast clouds	2022/02/02 17:00:00
296.89	overcast clouds	2022/02/02 18:00:00
296.75	overcast clouds	2022/02/02 19:00:00
296.59	overcast clouds	2022/02/02 20:00:00
296.64	overcast clouds	2022/02/02 21:00:00
296.6	overcast clouds	2022/02/02 22:00:00
296.47	overcast clouds	2022/02/02 23:00:00
296.27	overcast clouds	2022/02/03 00:00:00
296.15	overcast clouds	2022/02/03 01:00:00
296.1	overcast clouds	2022/02/03 02:00:00
295.99	overcast clouds	2022/02/03 03:00:00
295.93	overcast clouds	2022/02/03 04:00:00
295.78	overcast clouds	2022/02/03 05:00:00
295.85	overcast clouds	2022/02/03 06:00:00
295.99	overcast clouds	2022/02/03 07:00:00
297.09	overcast clouds	2022/02/03 08:00:00
297.71	light rain	2022/02/03 09:00:00
298.34	light rain	2022/02/03 10:00:00
298.62	light rain	2022/02/03 11:00:00
